序号,分类代号,分类名称,纤维代码,中文通用名,英文名称,化学命名,CAS号,代际划分,发明年代,商业化年代,首发机构/发明人,纺丝成型工艺,密度(g/cm³),断裂强度(cN/dtex),断裂强度(GPa),拉伸模量(GPa),断裂伸长率(%),公定回潮率(%),极限氧指数LOI(%),熔点(°C),最高服役温度(°C),生物基,可生物降解,战略高性能,代表品牌/商标,典型应用领域,2026技术成熟度与产业现状
42,BIO_ALIPH,脂肪族可降解聚酯纤维,PBS,聚丁二酸丁二醇酯纤维 (PBS/PBAT共聚酯纤维),Poly(butylene succinate) & PBAT Fibers,"聚丁二酸-1,4-丁二醇酯",25777-14-4,第3代热塑性降解共聚酯纤维,1990s,2000s,昭和高分子 (Bionolle) / 金发科技,熔融纺丝 (常规熔纺与纺粘无纺布工艺),1.26,3.2,0.4,2.0,45.0,0.7,21.0,115.0,85.0,否,是,否,"Bionolle, Ecoflex (BASF), 金发PBS",农业全生物降解育苗钵、水土保持绿化防护网、一次性酒店日用品织物、包装填充棉,柔韧性大幅优于纯PLA，与PLA共混复合熔融纺丝制备兼具刚韧性能的全降解无纺布
43,BIO_FDCA,新型生物基呋喃与芳杂聚酯纤维,PEF,聚呋喃二甲酸乙二醇酯纤维 (PEF/全生物基芳香族聚酯),Polyethylene Furanoate Fiber (PEF),"聚2,5-呋喃二甲酸乙二醇酯",28728-19-0,第4代全生物基划时代聚酯,2009,2024,Avantium (荷商阿凡提亚) / 中科院宁波材料所,熔体缩聚-固相增粘-高速熔融纺丝,1.43,5.8,0.83,14.5,18.0,0.7,24.0,215.0,140.0,是,否,是,"Releaf, Avantium PEF",高阻隔绿色工业滤布、全生物基耐蠕变轮胎帘线、高性能防紫外防风运动风衣、阻气特种织物,万吨级工业化旗舰装置平稳运行，阻气性较PET提升10倍，碳足迹减少70%以上，被誉为‘绿色PET杀手’
44,HP_ARAMID,芳香族聚酰胺类纤维 (芳纶家族),PPTA,对位芳纶 (芳纶1414/凯夫拉),Para-Aramid Fiber (PPTA),聚对苯二甲酰对苯二胺,26125-61-1,第3代战略高性能特种纤维,1965,1971,Stephanie Kwolek (斯蒂芬妮·克沃勒克 / 杜邦 DuPont Kevlar),液晶干喷湿纺 (浓硫酸发烟液晶相溶液喷丝，水浴骤冷牵伸热定型),1.44,22.0,3.16,110.0,3.5,4.5,29.0,,260.0,否,否,是,"Kevlar (杜邦凯夫拉), Twaron (帝人芳纶), 泰和新材泰普龙",军警防弹衣与战术头盔、光纤中心加强芯抗拉纱、航天发动机防碎弹道护罩、高端防刺防割手套,超高强高模型(Kevlar 129/Twaron 2200)全国产化完全自主可控，年产能破3万吨位居全球前列
45,HP_ARAMID,芳香族聚酰胺类纤维 (芳纶家族),PMIA,间位芳纶 (芳纶1313/诺梅克斯),Meta-Aramid Fiber (PMIA),聚间苯二甲酰间苯二胺,25765-47-3,第3代耐高温耐火焰特种纤维,1961,1967,DuPont (杜邦 Nomex / 诺梅克斯),低温溶液湿法纺丝或干法纺丝 (DMAc-LiCl溶剂体系),1.38,4.8,0.66,12.0,30.0,5.5,32.0,,220.0,否,否,是,"Nomex (诺梅克斯), Conex (帝人), 美士达 (泰和新材)",特勤消防战斗服、赛车手抗火服、飞机客舱内饰阻燃壁板、特高压变压器芳纶绝缘纸(Nomex纸),原液着色耐光老化间位芳纶与航空级芳纶蜂窝芯材纸基材料彻底实现自主技术全覆盖
46,HP_ARAMID,芳香族聚酰胺类纤维 (芳纶家族),ARAMID-III,杂环芳纶 (芳纶III / Armos / Rusar),Heterocyclic Aramid Fiber (Aramid III),共聚苯并咪唑芳香族聚酰胺,,第4代超高强抗弹特种纤维,1970s,1985,"俄罗斯前苏联全俄人造纤维研究院 (VNIISV / Armos, Rusar) / 中蓝晨光",干喷湿纺或湿法纺丝 (含苯并咪唑刚性单体共聚，液晶相纺丝),1.45,28.0,4.1,135.0,3.0,3.8,38.0,,300.0,否,否,是,"Rusar-S, Armos, 中蓝晨光芳纶III",战略导弹固体火箭发动机缠绕壳体、高超音速飞行器结构件、重型顶级防弹装甲、极端宇航缆绳,我国在杂环单体合成及连续干喷湿纺工程化取得重大突破，实现宇航主承力结构批量列装
47,HP_ARAMID,芳香族聚酰胺类纤维 (芳纶家族),PSA,聚砜酰胺纤维 (芳砜纶 / PSA纤维),Polysulfonamide Fiber (PSA),"聚对苯二甲酰-3,3'-二氨基二苯砜",31843-05-9,第3代中国独创耐温阻燃芳香纤维,1972,1980s,上海合成纤维研究所 (中国原创重大突破),低温溶液湿法纺丝,1.4,3.8,0.53,9.5,18.0,4.5,33.0,,250.0,否,否,是,Tanlon (芳砜纶 / 上纤所),250℃工业袋式除尘滤料、冶炼焊接防飞溅工服、特种电机H级电气绝缘纸、防火隔热毡,具有完全自主知识产权，在电力绝缘、钢铁水泥高温尾气治理滤袋保持长期竞争优势
48,HP_ARAMID,芳香族聚酰胺类纤维 (芳纶家族),TECHNORA,共聚对位芳纶纤维 (Technora / 泰诺拉),Co-Polyparaphenylene Terephthalamide (Technora),"对苯二甲酰氯与对苯二胺/3,4'-二氨基二苯醚三元共聚物",63428-84-2,第3代高韧共聚芳香纤维,1974,1987,Teijin (日本帝人),各向同性溶液干喷湿纺及超高倍热拉伸 (热拉伸比可达10倍),1.39,24.5,3.4,74.0,4.6,2.2,25.0,,210.0,否,否,是,Technora (泰诺拉 / Teijin),深海系泊缆绳、汽车高应力正时皮带骨架、耐屈挠输送带、航空降落伞吊绳,在反复屈折耐疲劳寿命上超越标准Kevlar数倍，为重载动负荷绳缆首选特种芳纶
49,HP_UHMWPE,超高分子量聚乙烯纤维,UHMWPE,超高分子量聚乙烯纤维 (迪尼玛/大力马/防弹纤维),Ultra-High Molecular Weight Polyethylene Fiber,超高分子量聚乙烯 (重均分子量>300万-500万),9002-88-4,第3代世界三大高性能纤维之一,1963,1979,Piet Lemstra (帝斯曼 DSM Dyneema) / AlliedSignal (Spectra),冻胶凝胶纺丝-超高倍热拉伸 (十氢萘或白油溶剂制备超缠结解聚冻胶，拉伸比>30-50倍),0.97,36.0,3.5,120.0,3.2,0.01,17.0,150.0,80.0,否,否,是,"Dyneema (迪尼玛 / Avient), Spectra (霍尼韦尔), 同益中, 九九久",超轻防弹插板、防切割五级手套、深海拖缆系泊巨绳、超轻高端鱼线、雷达天线罩,低蠕变超耐磨改性(耐蠕变提升300%)及环保水相干法冻胶纺丝技术彻底工业化，中国产能占全球70%以上
50,HP_HETERO,刚性链杂环与热致液晶聚合物纤维,PBO,聚苯并双恶唑纤维 (PBO纤维/柴隆),Poly-p-phenylenebenzobisoxazole Fiber (PBO),聚(对亚苯基苯并二恶唑),62061-07-2,第4代‘21世纪超级纤维’,1980s,1998,美国空军材料实验室 (AFML) / 日本东洋纺 (Toyobo Zylon),液晶相干喷湿纺 (多聚磷酸PPA溶液中合成液晶，骤冷凝固水洗热处理),1.56,42.0,5.8,280.0,2.5,0.6,68.0,,350.0,否,否,是,"Zylon (柴隆 / 东洋纺 Toyobo), 中蓝晨光PBO",航天隔热层遮阳网、F1赛车驾驶舱防护、火星着陆器减速伞牵引索、高端防暴头盔盾牌,攻克其固有光紫外老化痛点（纳米表面涂层改性与共聚改性），千吨级高纯连续丝束自主量产稳定供货
51,HP_HETERO,刚性链杂环与热致液晶聚合物纤维,PBI,聚苯并咪唑纤维 (PBI纤维),Polybenzimidazole Fiber (PBI),"聚-2,2'-(间亚苯基)-5,5'-联苯并咪唑",25734-65-0,第3代极限耐火阻燃特种纤维,1961,1983,Carl Marvel / Celanese (塞拉尼斯 PBI Products),干法纺丝 (DMAc高压溶解挤入高温甬道，随后高温高倍拉伸并磺化稳定),1.43,3.5,0.5,6.5,28.0,15.0,42.0,,350.0,否,否,是,PBI (Celazole / PBI Performance Products),NASA航天服外层耐火面料、高级重型特勤消防外勤战斗服、石化火灾避险防爆服,国际最高级别热防护服装不可替代标配；与对位芳纶按比例混纺织物占据全球高端消防核心地位
52,HP_HETERO,刚性链杂环与热致液晶聚合物纤维,PIPD,聚二咪唑并吡啶撑二羟基亚苯基纤维 (M5纤维),"Poly(2,6-diimidazo[4,5-b:4',5'-e]pyridinylene-1,4-(2,5-dihydroxy)phenylene) (M5)",双羟基吡啶并二咪唑聚合物 (具有网状双分子内氢键刚性棒状分子),,第4代超高压缩强度刚性链纤维,1990s,2000s,Akzo Nobel / Magellan Systems International,液晶相干喷湿纺 (浓PPA溶剂水解凝胶，多重分子链间双氢键致密排列),1.7,35.0,5.0,330.0,1.5,1.0,50.0,,320.0,否,否,是,M5 Fiber,航空航天机翼复合材料桁条、高抗冲击弹道护板、超高压缩复合支架(克服传统碳纤维易脆断压屈痛点),其轴向抗压缩强度达1.6 GPa（为对位芳纶的3倍），在解决复合材料压缩破坏关键技术中发挥核心作用
53,HP_HETERO,刚性链杂环与热致液晶聚合物纤维,TLCP,聚芳酯纤维 (热致液晶高分子纤维 / Vectran),Polyarylate Fiber (Thermotropic Liquid Crystal Polymer / Vectran),对羟基苯甲酸与6-羟基-2-萘甲酸无规共聚酯,81843-52-9,第3代热致液晶高性能纤维,1970s,1990,Celanese (塞拉尼斯) / Kuraray (日本可乐丽 Vectran),熔融纺丝及固相高真空长时后热处理 (熔体直接展现各向异性向列液晶相),1.4,26.0,3.2,85.0,3.8,0.1,28.0,330.0,160.0,否,否,是,Vectran (威克特纶 / Kuraray),NASA火星探测器气囊(勇气号/机遇号)、深海超高耐切割系泊绳、羽毛球拍网线、高保真音响振膜,在超低温极寒宇航环境下保持超强韧性，且耐弯折疲劳性显著超越碳纤维和芳纶
54,HP_ENG,特种工程热塑性与耐高温纤维,PPS,聚苯硫醚纤维 (PPS纤维),Polyphenylene Sulfide Fiber (PPS),聚(对苯硫醚),25212-74-2,第3代特种耐酸碱耐温工程纤维,1967,1983,Phillips Petroleum (菲利普斯石油 Ryton) / 帝人 / 浙江新和成,高温熔融纺丝与高倍热牵伸 (熔融温度310℃),1.35,4.5,0.6,4.5,25.0,0.2,34.0,285.0,190.0,否,否,是,"Ryton, Toray PPS, 新和成PPS短纤",燃煤火电厂与垃圾焚烧锅炉烟气脱硫除尘高温耐腐蚀滤袋、造纸工业干燥成型网、特种电绝缘织物,在190℃含酸性二氧化硫湿热烟气环境下服役寿命超3年，为我国超低排放环保滤料支柱品种
55,HP_ENG,特种工程热塑性与耐高温纤维,PEEK,聚醚醚酮纤维 (PEEK纤维),Polyetheretherketone Fiber (PEEK),聚芳醚醚酮,29658-26-2,第3代超耐热宇航工程特种纤维,1977,1980s,ICI (英国帝国化学 / Victrex 威格斯) / 中研股份,超高温熔融纺丝 (熔体温度达380-400℃，需特种抗氧化喷丝组件),1.3,6.5,0.85,8.0,20.0,0.2,35.0,343.0,250.0,否,否,是,"Zyex (Victrex), PEEK filament, 吉大特塑",航空航天热塑性热熔预浸料基体、网状植入医用脱垂修补片、半导体晶圆烘烤清洗载具网、油井电缆铠装护套,热塑性碳纤维/PEEK共混编织预浸料在下一代宽体客机机身壁板制造中进入规模化适航认证
56,HP_ENG,特种工程热塑性与耐高温纤维,PI-F,聚酰亚胺纤维 (PI纤维),Polyimide Fiber,聚均苯四甲酰亚胺 / 聚联苯型共聚聚酰亚胺,25038-81-7,第3代全能型耐高温特种纤维,1960s,1980s,Evonik (P84 奥地利赢创) / 长春应化所 / 江苏奥神,湿法或干法两步法纺丝 (聚酰胺酸PAA溶液纺丝后高温化学或热亚胺化),1.41,5.5,0.8,12.0,16.0,2.5,38.0,,260.0,否,否,是,"P84 (赢创 Evonik), 奥神PI短纤, 惠生PI长丝",260℃耐温微细异形截面高温除尘滤袋(P84叶裂形)、航天器多层隔热组件(MLI)、航天服阻燃内衬,高强高模型聚酰亚胺长丝在深空探测器耐辐照绳索和柔性太阳翼薄膜基底增强中实现不可替代应用
57,HP_FLUORO,含氟特种聚合物纤维,PTFE-F,聚四氟乙烯纤维 (PTFE纤维/氟纶),Polytetrafluoroethylene Fiber (Fluorofibre),聚四氟乙烯 (塑料王纤维化),9002-84-0,第3代极限耐化学腐蚀特种纤维,1938,1953,Roy Plunkett (杜邦 DuPont Teflon / 特氟龙),糊状挤出膜裂纺丝法、乳液载体湿纺法 (与纤维素共混烧结炭化载体),2.15,2.5,0.54,3.0,25.0,0.0,95.0,327.0,260.0,否,否,是,"Teflon (特氟龙), Gore-Tex (戈尔), Profilen",王水及全溶剂耐极端腐蚀工业密封填料盘根、化工苛刻高温酸洗脱硫滤布、人造心血管微孔移植物(ePTFE),膜裂纤维及超细微孔膨体ePTFE技术高度成熟，在严苛湿化学催化过滤与人工脏器中持续占据霸主地位
58,HP_FLUORO,含氟特种聚合物纤维,PVDF-F,聚偏二氟乙烯纤维 (PVDF纤维),Polyvinylidene Fluoride Fiber,聚偏氟乙烯 (具有特异电活性β相偶极排列),24937-79-9,第3代压电与耐候功能纤维,1940s,1970s,Pennwalt (Kynar) / 阿科玛 (Arkema),熔融纺丝高倍电场牵伸，或静电纺丝直接原位极化取向诱导β相,1.78,3.5,0.62,2.5,30.0,0.04,44.0,175.0,140.0,否,否,是,"Kynar (阿科玛), Solef (索尔维), 氟碳鱼线",自供电压电织物传感器、深海隐蔽水听器声学敏感织物、海水淡化微滤中空纤维膜、耐高光耐候特种渔线,原位极化纳米纤维微纳阵列实现足底与关节运动微能量高效收集，成为柔性可穿戴自驱动主流能量捕获元件
59,HP_THERMO,耐高温交联热固性树脂纤维,NOV,酚醛纤维 (诺沃洛伊德/Kynol),Novoloid Fiber (Phenol-Formaldehyde Fiber),热固性交联线型酚醛树脂纤维,26023-27-8,第2代特种三维交联耐火耐炭化纤维,1969,1972,Carborundum (卡波伦登) / 日本群荣化学 (Gun Ei Chemical),热塑性线型酚醛树脂熔融纺丝后，在甲醛与盐酸水溶液中加热固化深度交联,1.27,1.8,0.23,4.5,30.0,6.0,34.0,,160.0,否,否,是,"Kynol (群荣化学), Novoloid",高温密封烧蚀无石棉盘根、航天耐热碳前驱体、阻燃赛车服衬垫、化学品防护毯,遇火碳化转化率极高且不收缩，常与碳纤维、芳纶混纺用于严苛火灾阻隔层与高端活性碳纤维前驱体
60,HP_THERMO,耐高温交联热固性树脂纤维,MEL,三聚氰胺甲醛纤维 (美耐皿纤维/Basofil),Melamine Fiber,三聚氰胺与甲醛交联缩聚高分子,25036-13-9,第3代高效隔热阻燃无机/有机杂化感纤维,1990s,1997,BASF (巴斯夫 Basofil / 现属 Basofil LLC),水溶液离心旋转熔体/溶液挤出纺丝后热风固化交联,1.4,2.0,0.28,7.0,12.0,5.5,32.0,,200.0,否,否,是,"Basofil (巴斯夫), 密胺纤维",高铁与民航客机座椅防火阻隔衬垫、消防隔热手套耐热毡、工业炉窑阻火屏障,低游离甲醛绿色缩聚工艺达到欧标极高环保级别，在高端公共交通工具阻燃防火安全领域应用稳固
61,CF_PAN,聚丙烯腈基碳纤维,PAN-CF-HS,聚丙烯腈基高强型碳纤维 (T300/T700/T800/T1000/T1100),PAN-based High-Strength Carbon Fiber,聚丙烯腈热解乱层石墨微晶连续纤维,7440-44-0,第3代现代工业黑色黄金,1959,1971,Akio Shindo (进藤昭男 / 日本产总研) / 日本东丽 (Toray Torayca),湿法或干喷湿纺制备高纯原丝，经预氧化(200-300℃)、高温炭化(1000-1500℃)惰性气氛热解,1.79,31.0,5.5,290.0,1.9,0.0,65.0,,500.0,否,否,是,"Torayca T700/T800/T1100, 中复神鹰 SYT55S, 光威复材, 恒神",军用民用先进大飞机机身(波音787/空客A350/C929)、风力发电超长叶片碳梁、氢气瓶III/IV型缠绕层、高端体育器材,我国T700/T800万吨级工程化全面成熟并占领全球主导，高强高模兼备高延伸T1100G/T1200级在尖端国防批量装备
62,CF_PAN,聚丙烯腈基碳纤维,PAN-CF-HM,聚丙烯腈基高模/超高模型碳纤维 (M40/M55/M60/M65J),PAN-based High-Modulus Carbon Fiber,超高温石墨化微晶规整排布碳纤维,7440-44-0,第4代超刚性宇航级石墨纤维,1970s,1980s,Toray (日本东丽) / Hexcel (美国赫氏),经超高温石墨化炉(2000-3000℃)超高温热处理，诱导微晶高度三维石墨化生长取向,1.93,19.5,3.8,588.0,0.6,0.0,70.0,,500.0,否,否,是,"Torayca M40J / M55J / M60J, 光威复材QM40/QM55",天宫空间站柔性太阳翼支撑桁架、高精度对地遥感卫星相机镜头筒、洲际弹道导弹控制舵面、离子发动机栅极,实现M55J与M60J百吨级完全自主供应链，突破极低线膨胀系数控制，保障国家天基光学与深空探测关键指标
63,CF_PITCH,沥青基碳纤维,PITCH-CF,沥青基碳纤维 (中间相超高模/各向同性级),Pitch-based Carbon Fiber (Mesophase & Isotropic),中间相沥青缩聚石墨化碳纤维,7440-44-0,第3代超高导热超高刚度特种碳纤维,1963,1970s,Otani (大谷杉郎) / Union Carbide / 日本三菱化学 (DIALEAD),煤或石油沥青经精制形成向列型中间相液晶沥青，熔融微孔纺丝、不熔化预氧化及超高温石墨化,2.2,16.0,3.4,900.0,0.4,0.0,75.0,,550.0,否,否,是,"DIALEAD (三菱化学), Granoc (日本新日铁), 湖南大学沥青基CF",高功率卫星电子芯片超高导热散热基板、宇航飞行器主结构、极端超高刚性空间天线反射器,超高导热中间相沥青基碳纤维全面打破国际技术封锁，实现百吨级高纯连续丝稳定生产
64,CF_RAYON,纤维素与生物基前驱体碳纤维,RAYON-CF,粘胶基碳纤维 (宇航防热烧蚀碳纤维),Rayon-based Carbon Fiber,人造纤维素裂解无定形多孔微晶碳纤维,7440-44-0,第1代航天特种碳纤维,1879,1950s,Thomas Edison (爱迪生竹丝/人造丝炭化) / 联合碳化物 (Union Carbide UCC),高品质粘胶平纹布/长丝经阻燃浸渍催化、阶梯式慢速脱水预氧化及1200℃热解炭化,1.45,5.5,0.8,45.0,2.0,1.0,60.0,,600.0,是,否,是,"AvCarb, UCC Thornel-25, 航天材料及工艺研究所粘胶基CF",洲际导弹再入弹头端头防热帽、固体火箭发动机喷管喉衬喉栓、高超音速飞行器防热大底烧蚀部件,作为国家级不可替代的极端耐烧蚀隔热特种战略物资，连续化催化低温预氧化技术大幅提高成品率
65,CF_ACT,活性碳纤维材料,ACF,活性碳纤维 (ACF/微孔吸附纤维),Activated Carbon Fiber,富微孔高比表面积石墨化交联碳纤维,7440-44-0,第2代吸附分离功能纤维,1960s,1970s,Brimer / 日本可乐丽 (Kuraray) / 东洋纺,粘胶、酚醛或PAN纤维碳化后，在800-1000℃经水蒸气或CO2高温物理/化学活化造孔,0.85,2.5,0.25,15.0,2.5,3.0,50.0,,350.0,否,否,是,"Kynol ACF, Kuractive, 赛普乐斯ACF",化生核防毒面具滤芯、半导体超纯VOC有机废气脱附回收装置、血液透析吸附净化滤柱、超级电容器电极,微孔比表面积突破2500 m²/g且孔径分布在1-2 nm均匀调控，吸脱附速率较传统颗粒活性炭快数十倍
66,CF_NANO,先进低维碳连续纤维,CNT-F,碳纳米管宏观连续纤维 (CNT纤维),Carbon Nanotube Fiber (CNT Fiber),高度取向密排单壁/双壁碳纳米管宏观聚集体长丝,308068-56-6,第4代纳米尺度宏观组装尖端纤维,2000,2015,Poulin (湿法纺丝) / Windle (剑桥大学浮动催化CVD) / 魏飞 (清华) / 中科院物理所,浮动催化化学气相沉积(FCCVD)气相直接牵伸卷绕纺丝，或超强酸液晶湿法纺丝,1.4,32.0,4.5,250.0,4.5,0.1,60.0,,450.0,否,否,是,"Tortech Nano, Nanocomp DexMat Galvorn, 碳纳米管连续纺丝",卫星微波同轴电缆轻量化屏蔽网织物(减重80%)、宇航航天抗雷击网、微型智能肌肉驱动线、可穿戴电热防除冰,千米级连续原位纺丝速率突破100 m/min，导电率逼近金属铜(>10^7 S/m)，在航空航天线束轻量化大规模替代铜网
67,CF_NANO,先进低维碳连续纤维,GF-NANO,石墨烯宏观连续纤维 (石墨烯长丝),Graphene Fiber,二维石墨烯片层高度沿轴向排列组装宏观长丝,1034343-98-0,第4代纳米材料宏观有序构筑纤维,2011,2020,高超 (浙江大学高分子系团队原创发明),氧化石墨烯高浓度液晶溶液湿法纺丝，经化学还原/高温热还原深度石墨化缺陷修复,1.65,22.0,3.6,400.0,2.0,0.2,65.0,,500.0,否,否,是,"高超团队石墨烯长丝, 杭州高烯科技",极端高导热热沉织物、柔性超级电容器电极核心丝、高灵敏智能生理信号传感纤维、抗辐射特种导线,实现百吨级多孔高强石墨烯导电导热纤维量产，热导率达1500 W/m·K，在下一代大功率柔性可穿戴热管理商业化落地
68,INORG_GLASS,高性能玻璃纤维系列,E-GLASS,无碱玻璃纤维 (E-玻纤),Alkali-free Glass Fiber (E-Glass),铝硼硅酸盐玻璃 (碱金属氧化物<0.8%),65997-17-3,第1代无机基础复合增强纤维,1930s,1938,Owens-Corning (欧文斯科宁) / 中国巨石,单元池窑拉丝法 (玻璃配合料1580℃高温熔融，铂铑合金多孔漏板高速下拉卷绕),2.58,13.5,3.4,76.0,4.5,0.0,100.0,1200.0,550.0,否,否,否,"Advantex, 中国巨石E6/E7/E8, 泰山玻纤, 重庆国际",风电叶片、覆铜板PCB基板增强布、汽车轻量化SMC/BMC模塑料、玻璃钢游艇、建筑防腐管道,中国产能占全球75%以上；高模低能耗无硼无氟配方（模量破90 GPa）成为大型化百米风电叶片标配
69,INORG_GLASS,高性能玻璃纤维系列,S-GLASS,高强高模玻璃纤维 (S-Glass / S-2 Glass),High-Strength Glass Fiber (S-Glass),无硼镁铝硅酸盐玻璃,65997-17-3,第2代特种军工级高强玻纤,1960s,1968,Owens-Corning (S-2 Glass) / 南京玻璃纤维研究设计院 (中材科技),超高温池窑/贵金属坩埚拉丝 (熔化温度>1650℃),2.48,18.5,4.6,89.0,5.2,0.0,100.0,1450.0,750.0,否,否,是,"S-2 Glass, HS4/HS6 (中材科技南玻院)",武装直升机防弹装甲座舱板、大型火箭复合材料压力容器、步兵战车轻量化防破片衬层、高抗冲机翼天线罩,国内新一代模量达100 GPa超高强玻纤打破国际垄断，在深潜器耐压球壳与重型装备结构件广泛装配
70,INORG_GLASS,高性能玻璃纤维系列,QUARTZ-F,高纯石英纤维 (石英玻璃纤维),Quartz Fiber (High Purity Fused Silica Fiber),超纯熔融二氧化硅 (SiO2纯度>99.95%),60676-86-0,第3代极限耐高温低介电特种无机纤维,1950s,1960s,Saint-Gobain (圣戈班 Quartzel) / 菲利华 (Feilihua),天然高纯水晶棒经氢氧焰或等离子焰高温熔化拉丝,2.2,16.0,3.6,78.0,4.6,0.0,100.0,1700.0,1050.0,否,否,是,"Quartzel (圣戈班), 菲利华石英纤维","超高音速战机/导弹雷达透波天线罩(极低介电常数Dk=3.74, 损耗Df=0.0002)、航天飞机防热瓦隔热层、半导体石英织物",掌握超纯合成二氧化硅棒材气相沉积拉丝新工艺，纯度达99.999%且耐辐照无色心，全面装备国家重点航天型号
71,INORG_GLASS,高性能玻璃纤维系列,LOW-DK-G,低介电超薄玻璃纤维 (Low-Dk玻纤),Low Dielectric Glass Fiber (Low-Dk / Low-Df),低介电硼硅酸盐特种玻璃,65997-17-3,第4代高频高速通信电子特种纤维,2000s,2018,AGC (旭硝子) / 宏和科技 / 中国巨石,超精细单元窑多孔拉丝制备单丝直径4-5微米开纤电子纱,2.36,11.5,2.7,65.0,3.8,0.0,100.0,1250.0,600.0,否,否,是,"Low-Dk Glass, 巨石高频印制板基布",AI算力GPU服务器主板、5G-A/6G毫米波基站天线PCB板、自动驾驶毫米波雷达高频高速印制电路布,10 GHz下介电常数降至4.0以下且介质损耗角切正值<0.002，全面满足百Tbps吞吐算力集群极端低延迟信号传输
72,INORG_GLASS,高性能玻璃纤维系列,AR-GLASS,耐碱玻璃纤维 (AR-玻纤/抗裂水泥抗碱纤维),Alkali-Resistant Glass Fiber (AR-Glass),含高浓度氧化锆耐碱硅酸盐玻璃 (ZrO2含量>16.7%),65997-17-3,第2代建筑特种工程纤维,1960s,1971,BRE / Pilkington (皮尔金顿 Cem-FIL),铂金坩埚或耐高温特种池窑拉丝,2.74,11.0,3.0,72.0,3.6,0.0,100.0,1250.0,600.0,否,否,否,"Cem-FIL, 泰山耐碱玻纤",玻璃纤维增强水泥外墙异形挂板(GRC幕墙)、公路桥梁防撞栏混凝土抗裂防渗筋、高耐久预制构件,高含量氧化锆钝化膜技术在强碱性(pH>13)水泥水化环境下耐受寿命超50年，GRC建筑立面艺术造型全球标准材料
73,INORG_MINERAL,天然玄武岩熔融矿物纤维,CBF,玄武岩连续纤维 (CBF/天然火山岩纤维),Continuous Basalt Fiber (CBF),天然均质辉绿玄武岩矿石熔融铝硅铁钙无机聚合物,65997-17-3,第3代天然无机绿色高性能纤维,1923,1985,前苏联乌克兰材料问题研究所 / 东南大学 / 四川航天拓鑫,天然火山玄武岩矿石破碎清洗后，经1450-1500℃纯熔融直接由铂铑合金漏板高速拉丝 (全过程无工业废水三废),2.75,13.0,3.6,95.0,3.1,0.1,100.0,1450.0,650.0,否,否,是,"Kamenny Vek, 四川拓鑫玄武岩纤维, 江苏天龙",海洋重腐蚀跨海大桥无锈耐腐蚀筋材(替代传统钢筋)、防火消防逃生毯与防火幕帘、沥青道路抗车辙网格布、高铁吸音屏障,百孔至千孔大型多排漏板自动化均质拉丝技术彻底攻克，能耗大幅下降，中国产能位居全球榜首
74,INORG_CERAMIC,先进连续陶瓷纤维,SIC-F,连续碳化硅纤维 (SiC纤维 1代/2代/3代),Continuous Silicon Carbide Fiber (SiC Fiber),近化学计量比致密微晶碳化硅,409-21-2,第4代超高温战略热结构陶瓷纤维,1975,1980s,Seishi Yajima (矢岛圣使 / 日本东北大学) / 日本碳素 (Nippon Carbon) / 国防科大,聚碳硅烷(PCS)前驱体熔融纺丝，经不熔化空气/电子束辐照交联后，在惰性气氛经1200-1800℃高温热解烧结,3.1,10.0,3.0,400.0,0.8,0.0,100.0,2700.0,1400.0,否,否,是,"Nicalon (1代), Hi-Nicalon (2代), Hi-Nicalon Type S (3代), Tyranno, 湖南赛菲",新一代军民用航空涡轮发动机热端陶瓷基复合材料(CMC-SiC)导向叶片与转子、高超音速飞行器燃烧室喉道壁、核反应堆包壳管,第3代耐温超1450℃超低氧耐蠕变近化学计量比SiC长丝百吨级产线稳定交付，支撑我国国产先进航空发动机商用试车
75,INORG_CERAMIC,先进连续陶瓷纤维,AL2O3-F,连续氧化铝微晶纤维 (Nextel 610/720),Continuous Alumina Ceramic Fiber,超细纳米晶α-Al2O3 / 莫来石复合多晶陶瓷,1344-28-1,第4代超高温抗氧化陶瓷纤维,1970s,1990s,3M 公司 (Nextel 610 / 720) / 山东硅苑 / 浙江拓盛,溶胶-凝胶法 (Sol-Gel): 铝氧烷/铝盐水溶胶与微量助剂配置纺丝胶体，干法挤出纺丝并经1300℃受控快速烧结,3.9,8.0,3.1,380.0,0.8,0.0,100.0,2050.0,1200.0,否,否,是,"Nextel 610, Nextel 720 (3M)",航空发动机排气尾喷管高温隔热毯、特种高温陶瓷基刹车盘、空间碎片微流星体超高速撞击防护屏蔽网、金属基复合材料强化丝,彻底解决微晶晶粒在1200℃以上长时服役晶粒粗化痛点，实现金属基/氧化物陶瓷基复合材料关键强化件量产
